title,text,subject,date,label
factbox  big ticket items center congress spending bill, reuters    u s  congress thursday approved temporary funding bill prevent federal agencies shutting midnight friday existing money set expire  following major items debated legislation president donald trump expected sign law  friday midnight deadline action result republican controlled congress failing pass regular appropriations bills fiscal year began oct  1  instead  government operating series temporary measures  newest stopgap bill continues funding government operations jan  19  giving lawmakers several weeks work spending bill would pay agency activities sept  30  end current fiscal year  house representatives conservatives failed bid attach major defense spending increase would fund pentagon september  instead  congress agreed fund military jan  19  like programs  move attract support   4 7 billion increase included used missile defense ship repair  democrats republicans continue negotiations higher funding military non military programs   81 billion disaster aid bill going attached government funding bill  instead  house approved stand alone bill  see senate put action least next month  would build  52 billion already provided puerto rico  u s  virgin islands several states hit severe hurricanes  wildfires natural disasters  democrats want puerto rico republicans worry mounting costs disaster aid  children s health insurance program  helps provide medical care nearly 9 million children low income families  get  2 85 billion cover expenses march lawmakers seek permanent solution  senators put early next year bid maintain healthcare subsidies low income people participating affordable care act  also known obamacare  many house republican lawmakers dislike idea  national security agency s warrantless internet surveillance program foreign intelligence surveillance act extended jan  19 lawmakers try reconcile competing versions legislation house senate  legislation protect “dreamers” deportation included  despite democrats  push resolve issue year s end  major disappointment congressional hispanic caucus immigration advocacy groups  negotiators still trying reach deal helping immigrants  many mexico central america  brought united states illegally children  issue expected come back life early 2018 ,politicsNews,"December 21, 2017 ",real
fbi deputy director sit closed interview house panels,washington  reuters    fbi s deputy director  andrew mccabe  appear closed door interview thursday two key u s  congressional committees  republicans asked discuss bureau s handling hillary clinton email probe  justice department confirmed letter wednesday chairmen house representatives judiciary oversight committees mccabe sit transcribed interview  said mccabe permitted discuss anything related special counsel robert mueller s investigation russian meddling 2016 presidential election  said interview must conducted classified setting transcript publicly released  federal bureau investigation part justice department  republican led house judiciary oversight committees announced october launching fresh probes number long standing political grievances  including concerns fbi s handling investigation clinton s use private email server secretary state  republicans said want get bottom former fbi director james comey  fired president donald trump  publicly discussed clinton investigation announced bureau would seek bring charges  comey also publicly revealed  11 days 2016 presidential election  reopening matter fbi discovered new batch clinton emails  case closed shortly emails reviewed  new information uncovered  critics say republicans  focus clinton merely tactic distract mueller s investigation whether members trump s campaign colluded russia  since new clinton probe announced  republicans also turned pressure mueller attacked fbi s integrity  anti trump text messages surfaced two fbi employees worked mueller s team  one employees  agent peter strzok  reassigned texts discovered  other  fbi lawyer lisa page  completed temporary 45 day detail assignment mueller mid july  republican also asked justice department make page  works fbi s general counsel s office  available interviews  trump openly attacked fbi  saying reputation “tatters ” russia denied meddling election  trump said collusion ,politicsNews,"December 20, 2017 ",real
what s final republican tax bill, reuters    u s  house representatives gave final approval wednesday sweeping  debt financed tax bill midday vote  go president donald trump sign law  although timing unclear  senate approved bill early wednesday  key parts bill  representing biggest overhaul u s  tax code 30 years  corporate tax rate  cuts corporate income tax rate permanently 21 percent 35 percent  jan  1  2018  pass throughs  creates 20 percent deduction first  315 000 qualified business income joint filers pass through businesses partnerships sole proprietorships  income threshold  legislation phases limits  producing effective marginal tax rate 29 6 percent  corporate alternative minimum tax  repeals 20 percent corporate alternative minimum tax  set ensure profitable corporations pay least tax  territorial system  exempts u s  corporations u s  taxes future foreign profits  ending present worldwide system taxing profits u s  based corporations  matter earned  would align u s  tax code industrialized nations  undercut many offshore tax dodging strategies deliver multinationals goal pursued years  repatriation  sets one time mandatory tax 8 percent illiquid assets 15 5 percent cash cash equivalents  2 6 trillion u s  business profits held overseas  foreign cash pile created rule making foreign profits tax deferred brought united states  repatriated  rule would rendered obsolete territorial system  anti base erosion measures  prevents companies shifting profits united states lower tax jurisdictions abroad  sets alternative minimum tax payments u s  corporations foreign affiliates  limits shifting corporate income transfers intangible property  including patents  combination  measures repatriation territorial system provisions  represent dramatic overhaul u s  tax system multinationals  capital expensing  allows businesses immediately write off  expense  full value investments new plant equipment five years  gradually eliminates 100 percent expensing five years beginning year six  also makes changes permit expensing small businesses  interest deduction limit  caps business deductions debt interest payments 30 percent taxable income  regardless deductions depreciation  amortization depletion  clean energy  preserves tax credits producing electricity wind  biomass  geothermal  solar  municipal waste hydropower  carried interest  leaves place “carried interest” loophole private equity fund managers hedge fund managers  despite pledges republicans including president donald trump close it  financiers claim lower capital gains tax rate much income investments held year  new rule would extend holding period three years  putting loophole reach fund managers preserving availability many  brackets  maintains current seven tax brackets  temporarily changes income levels rates one  married couples filing jointly  effective jan  1  2018 ending 2026  income tax would be  10 percent  19 050  versus 10 percent  18 650 existing law  12 percent  19 051  77 400  versus 15 percent on 18 651  75 900  22 percent  77 401  165 000  versus 25 percent  75 901  153 100  24 percent  165 001  315 000  versus 28 percent  153 101  233 350  32 percent  315 001  400 000  versus 33 percent  233 351  416 700  35 percent  400 001  600 000  versus 35 percent  416 701  470 700 37 percent  600 000  versus 39 6 percent above 470 700  single individuals  effective jan  1  2018 ending 2026  income tax would be  10 percent  9 525  versus 10 percent  9 325 existing law  12 percent  9 526  38 700  versus 15 percent  9 326  37 950  22 percent  38 701  82 500  versus 25 percent  37 951  91 900  24 percent  82 501  157 500  versus 28 percent  91 901  191 650  32 percent  157 501  200 000  versus 33 percent  191 651  416 700  35 percent  200 001  500 000  versus 35 percent  416 701  418 400  37 percent  500 000  versus 39 6 percent  418 400  brackets would expire 2025  standard deduction  change expected end itemizing deductions millions americans  bill eight years beginning jan  1  2018  would increase standard deduction   fixed amount subtracted adjusted gross income lower taxable income    12 000  6 350 individuals   24 000  12 700 married couples  child tax credit  doubles child tax credit  2 000 per dependent child age 17  refundable portion  1 400  refundable portion allows families lower tax bills zero receive refund remaining value  personal exemption  temporarily eliminates  4 050 individual personal exemption  present law  taxpayers earn certain income caps subtract fixed dollar amount adjusted gross incomes lower taxable incomes  generally  one exemption allowed per individual  spouse child dependent  would take effect jan  1  2018  personal exemption would return 2026  individual alternative minimum tax  leaves amt place temporarily changes raising exemptions phase outs  mean fewer people pay tax  still take smaller hit it  inheritances  raises exemption estate gift taxes  10 million  5 million per person indexes new exemption level inflation 2011  means even fewer americans would pay estate tax  would stay books  mortgages  residences bought jan  1  2018  dec  31  2025  bill caps deduction mortgage interest  750 000 home loan value  dec  31  2025  cap would revert  1 million loan value  suspends deduction interest home equity loans jan  1  2018 2026  medical expenses  temporarily expands deductibility out of pocket medical expenses 2019  obamacare mandate  repeals federal fine imposed americans obamacare obtaining health insurance coverage  change expected undermine 2010 healthcare law  anwr drilling  allows oil drilling alaska s arctic national wildlife refuge ,politicsNews,"December 19, 2017 ",real
trump signs tax  government spending bills law,washington  reuters    u s  president donald trump signed republicans  massive  1 5 trillion tax overhaul law friday  cementing biggest legislative victory first year office  also approved short term spending bill averts possible government shutdown  trump said wanted sign tax bill leaving washington friday mar a lago estate florida  rather stage formal ceremony january  could keep promise finish work christmas  “i didn t want folks say wasn t keeping promise  i m keeping promise ” told reporters white house  two pieces legislation represent trump s significant accomplishment congress since taking office january  well sign awaits returns florida christmas holiday  tax package  largest overhaul since 1980s  slashes corporate rate 35 percent 21 percent temporarily reduces tax burden individuals well  trump praised several companies announced employee bonuses wake bill s passage  naming at t  boeing  wells fargo  comcast sinclair broadcast group  “corporations literally going wild this ” said  democrats opposed bill giveaway wealthy would add  1 5 trillion  20 trillion national debt next decade  spending bill extends federal funding jan  19  largely current levels  nothing resolve broader disputes immigration  healthcare military spending  republicans also divided whether follow sweeping overhaul u s  tax code dramatic restructuring federal benefit programs  house speaker paul ryan said would like revamp welfare health programs senate republican leader mitch mcconnell told national public radio monday interested cutting programs without democratic support  trump s year also closes significant turnover many top staffers white house since early term  friday  white house confirmed deputy chief staff rick dearborn jeremy katz  worked white house economic adviser gary cohn  leaving ,politicsNews,"December 22, 2017 ",real
house panel asks trump ex top aide bannon testify  bloomberg,washington  reuters    steve bannon  former top white house strategist former chief campaign aide donald trump  asked testify u s  house representatives intelligence panel next month  bloomberg news reported  corey lewandowski  trump s former campaign manager  also asked testify early january  bloomberg reported friday  citing official familiar committee s schedule  representatives committee immediately respond inquiries comment  panel probing alleged russian meddling 2016 u s  election ,politicsNews,"December 22, 2017 ",real
u s  court rejects trump bid stop transgender military recruits jan  ,new york  reuters    federal appeals court virginia thursday rejected bid president donald trump s administration prevent u s  military accepting transgender recruits starting jan  1  administration urged appeals court suspend order federal judge baltimore armed forces begin accepting transgender recruits date  administration said jan  1 start date causing armed forces scramble revise policies risk harming military readiness  brief two paragraph order  three judge panel richmond based 4th u s  circuit court appeals said denying administration s request appeal proceeds  three judges democratic appointees  court s action could prompt administration ask conservative majority u s  supreme court intervene  “we disagree court s ruling currently evaluating next steps ” u s  justice department spokeswoman lauren ehrsam said statement  several transgender service members  backed american civil liberties union  filed suit maryland trump said july would ban transgender people military  move would reverse policy republican president s democratic predecessor barack obama accept them  trump cited concern military focus medical costs  far  three federal judges around country issued injunctions blocking trump s ban  administration appealed three rulings  joshua block  aclu attorney represents plaintiffs maryland case  said happy appeals court saw government s “smokescreen” delay enlistment  thursday s action response administration s appeal nov  21 ruling u s  district judge marvin garbis  said transgender prohibition likely violates plaintiffs  constitutional right equal protection law  garbis ruling followed similar one oct  30 another federal judge washington  d c  third judge seattle also ruled administration dec  11  august memorandum  trump gave military march 2018 revert policy prohibiting openly transgender people joining military authorizing discharge  memo also halted use government funds sex reassignment surgery active duty military personnel  obama administration set deadline july 1 year begin accepting transgender recruits  trump s defense secretary  james mattis  postponed date jan  1  president s ban put indefinitely  trump administration said legal papers armed forces prepared train thousands personnel medical standards needed process transgender applicants might accept “some individuals medically fit service ” pentagon dec  8 issued guidelines recruitment personnel order enlist transgender applicants jan  1  memo outlined medical requirements specified applicants  sex would identified even undergarments would wear  ban s challengers said memo contradicted claim military ready  justice department disagreed  telling court wednesday “all memorandum shows military scrambling comply injunction ” lawsuit s lead plaintiff brock stone  34  served u s  navy 11 years  including nine month deployment afghanistan  wants remain least 20 years  according court papers ,politicsNews,"December 21, 2017 ",real
alabama official certify senator elect jones today despite challenge  cnn,washington  reuters    alabama secretary state john merrill said certify democratic senator elect doug jones winner thursday despite opponent roy moore s challenge  phone call cnn  moore  conservative faced allegations groping teenage girls 30s  filed court challenge late wednesday outcome u s  senate election unexpectedly lost ,politicsNews,"December 28, 2017 ",real
democrats give trump big f  ck attacks insane twitter rant,donald trump twitter feed always goldmine crazy  unfortunately  since orange overlord squatting oval office  nutty tweets tend ability derail important policy initiatives  therefore disastrous effects nation sometimes world  case point fact insisted upon attacking democratic leaders meeting regarding debt ceiling  children health insurance program  deferred action childhood arrivals  daca   important domestic policy initiatives  apparently  trump saw fit take twitter accuse old pals chuck nancy strong enough crime immigration  therefore see way make deals them meeting chuck nancy today keeping government open working  problem want illegal immigrants flooding country unchecked  weak crime want substantially raise taxes  see deal  donald j  trump   realdonaldtrump  november 28  2017given out of the blue attack  democratic minority leaders nancy pelosi  d ca  chuck schumer  d ny  released joint statement promptly pulling meeting  reads  given president see deal democrats white house  believe best path forward continue negotiating republican counterparts congress instead  leader pelosi took twitter take trump on given president see deal democrats white house  believe best path forward continue negotiating republican counterparts congress instead  nancy pelosi   nancypelosi  november 28  2017rather going white house show meeting result agreement  asked  senatemajldr    speakerryan meet afternoon  read full statement w   senschumer here  nancy pelosi   nancypelosi  november 28  2017it likely best democrats go meet trump anyway  clearly becoming unhinged day  absolutely reason attack leaders set time meet good faith  again  led crazy man  much sense anything anymore look government shutdown  folks  coming watch video situation  below featured image via zach gibson pool getty images ,News,"November 28, 2017",fake
sean hannity gets wrecked yelling time magazine calling trump s lie,fox news host sean hannity twitter meltdown time called donald trump claiming magazine called regarding person year award declined offer time magazine corrected trump tweet  writing  president incorrect choose person year  time comment choice publication  december 6  magazine calling trump much bear trump cult member sean hannity called bullshit hours time denied former reality show star bizarre claim  call total bullshit time  answer question  call wh say  realdonaldtrump  potus considered person year ask interview  hannity tweeted friday i call total bullshit time  answer question  call wh say  realdonaldtrump  potus considered person year ask interview  sean hannity   seanhannity  november 25  2017and again so  time worse fake news  cnn  coming ice age  big cool ha  sean hannity   seanhannity  november 25  2017sean really wants magazine attention waiting sean hannity   seanhannity  november 25  2017twitter users  course  calling liddle sean you questioning time  questioning man hung fake time covers resorts  sad caught lies yet  sean  mrs  smh   maralagofuckyou  november 25  2017pic twitter com ujtvsakgof fork   whattheforkllc  november 25  2017only finest make  time  potus44  michelleobama pic twitter com fglx2rzgwo nat   n a t 39  november 25  2017lmao  let look logically   time magazine business 93 years  never gone bankrupt  respected institution  realdonaldtrump gone bankrupt 4 times  caught scores lies including fake time cover mounted golf club walls  pic twitter com ywzr96arh1 annalise brown   swflib  november 25  2017donnie stand idea obama time man year first year presidency  knows never half man president  barackobama was  eating inside  pic twitter com romxc3oc7c annalise brown   swflib  november 25  2017as woman notes  trump always obsessed time magazine honey  get man warm milk one also  pic twitter com lmv9lwg9lx kastherine   mercedes8 s  november 25  2017find comfy chair  drink warm milk  wait voices stop  charles p  pierce   charlesppierce  november 25  2017with trump history  man literally hangs photoshopped time magazine covers featuring big stupid face  walls least 4 golf courses  pretty time magazine lying photo rob kim getty images ,News,"November 25, 2017",fake
trump  everything heard say access hollywood tape never happened,former reality show star donald trump repeatedly refused held responsible words come mouth  even tape  example  infamous access hollywood tape suggests powerful  grab women p ssies  trump defended sexual harasser fox news host  yeah  know redundant  bill reilly recent past even recently  defended alleged pedophile alabama senate candidate roy moore  so  defending perverts another day donald trump here quick reminder trump said p ssy grabbing tape  know automatically attracted beautiful  women  start kissing them  like magnet  kiss  even wait  star  let it  anything  grab pussy  anything  new york times reports even trump made almost apology tape revealed  still told senator adviser access hollywood tape may authentic but something deeper consuming mr  trump  sees calls mr  moore step aside version response now famous access hollywood tape  boasted grabbing women genitalia  flood groping accusations followed soon after  suggested senator earlier year authentic  repeated claim adviser recently so  reiterate  trump told adviser recently video tape talking perving women fake news  also told senator released we see pattern here  maybe trump cult like following believe crap rest us remember tape well  tape indicating factor donald j  trump unfit office  morally intellectually photo chip somodevilla getty images,News,"November 25, 2017",fake
